SA2_MAINCODE_2011,SA2_NAME_2011,SA2_MAINCODE_2016,SA2_NAME_2016,RATIO,PERCENTAGE
101011001,Goulburn,101051539,Goulburn,1,100
101011002,Goulburn Region,101051540,Goulburn Region,1,100
101011003,Yass,101061541,Yass,1,100
101011004,Yass Region,101061542,Yass Region,1,100
101011005,Young,101061543,Young,1,100
101011006,Young Region,101061544,Young Region,1,100
101021007,Braidwood,101021007,Braidwood,1,100
101021008,Karabar,101021008,Karabar,1,100
101021009,Queanbeyan,101021009,Queanbeyan,1,100
101021010,Queanbeyan - East,101021010,Queanbeyan - East,1,100
101021011,Queanbeyan Region,101021011,Queanbeyan Region,1,100
101021012,Queanbeyan West - Jerrabomberra,101021012,Queanbeyan West - Jerrabomberra,1,100
101031013,Bombala,101031013,Bombala,1,100
101031014,Cooma,101031014,Cooma,1,100
101031015,Cooma Region,101031015,Cooma Region,1,100
101031016,Jindabyne - Berridale,101031016,Jindabyne - Berridale,1,100
101041017,Batemans Bay,101041017,Batemans Bay,1,100
101041018,Batemans Bay - South,101041018,Batemans Bay - South,1,100
101041019,Bega - Tathra,101041019,Bega - Tathra,1,100
101041020,Bega-Eden Hinterland,101041020,Bega-Eden Hinterland,1,100
101041021,Broulee - Tomakin,101041021,Broulee - Tomakin,1,100
101041022,Deua - Wadbilliga,101041022,Deua - Wadbilliga,1,100
101041023,Eden,101041023,Eden,1,100
101041024,Eurobodalla Hinterland,101041024,Eurobodalla Hinterland,1,100
101041025,Merimbula - Tura Beach,101041025,Merimbula - Tura Beach,1,100
101041026,Moruya - Tuross Head,101041026,Moruya - Tuross Head,1,100
101041027,Narooma - Bermagui,101041027,Narooma - Bermagui,1,100
102011028,Avoca Beach - Copacabana,102011028,Avoca Beach - Copacabana,1,100
102011029,Box Head - MacMasters Beach,102011029,Box Head - MacMasters Beach,1,100
102011030,Calga - Kulnura,102011030,Calga - Kulnura,1,100
102011031,Erina - Green Point,102011031,Erina - Green Point,1,100
102011032,Gosford - Springfield,102011032,Gosford - Springfield,1,100
102011033,Kariong,102011033,Kariong,1,100
102011034,Kincumber - Picketts Valley,102011034,Kincumber - Picketts Valley,1,100
102011035,Narara,102011035,Narara,1,100
102011036,Niagara Park - Lisarow,102011036,Niagara Park - Lisarow,1,100
102011037,Point Clare - Koolewong,102011037,Point Clare - Koolewong,1,100
102011038,Saratoga - Davistown,102011038,Saratoga - Davistown,1,100
102011039,Terrigal - North Avoca,102011039,Terrigal - North Avoca,1,100
102011040,Umina - Booker Bay - Patonga,102011040,Umina - Booker Bay - Patonga,1,100
102011041,Wamberal - Forresters Beach,102011041,Wamberal - Forresters Beach,1,100
102011042,Woy Woy - Blackwall,102011042,Woy Woy - Blackwall,1,100
102011043,Wyoming,102011043,Wyoming,1,100
102021044,Bateau Bay - Killarney Vale,102021044,Bateau Bay - Killarney Vale,1,100
102021045,Blue Haven - San Remo,102021045,Blue Haven - San Remo,1,100
102021046,Budgewoi - Buff Point - Halekulani,102021046,Budgewoi - Buff Point - Halekulani,1,100
102021047,Chittaway Bay - Tumbi Umbi,102021047,Chittaway Bay - Tumbi Umbi,0.9934181,99.3418082
102021047,Chittaway Bay - Tumbi Umbi,102021055,Tuggerah - Kangy Angy,0.0065819,0.6581918
102021048,Gorokan - Kanwal - Charmhaven,102021048,Gorokan - Kanwal - Charmhaven,1,100
102021049,Jilliby - Yarramalong,102021049,Jilliby - Yarramalong,1,100
102021050,Lake Munmorah - Mannering Park,102021050,Lake Munmorah - Mannering Park,1,100
102021051,Ourimbah - Fountaindale,102021051,Ourimbah - Fountaindale,1,100
102021052,Summerland Point - Gwandalan,102021052,Summerland Point - Gwandalan,1,100
102021053,The Entrance,102021053,The Entrance,1,100
102021054,Toukley - Norah Head,102021054,Toukley - Norah Head,1,100
102021055,Tuggerah - Kangy Angy,102021055,Tuggerah - Kangy Angy,1,100
102021056,Warnervale - Wadalba,102021056,Warnervale - Wadalba,1,100
102021057,Wyong,102021057,Wyong,1,100
103011058,Bathurst,103011058,Bathurst,1,100
103011059,Bathurst - East,103011059,Bathurst - East,1,100
103011060,Bathurst Region,103011060,Bathurst Region,1,100
103011061,Oberon,103011061,Oberon,1,100
103021062,Condobolin,103021062,Condobolin,1,100
103021063,Cowra,103021063,Cowra,1,100
103021064,Cowra Region,103021064,Cowra Region,1,100
103021065,Forbes,103021065,Forbes,1,100
103021066,Grenfell,103021066,Grenfell,1,100
103021067,Parkes (NSW),103021067,Parkes (NSW),1,100
103021068,Parkes Region,103021068,Parkes Region,1,100
103021069,West Wyalong,103021069,West Wyalong,1,100
103031070,Lithgow,103031070,Lithgow,1,100
103031071,Lithgow Region,103031071,Lithgow Region,1,100
103031072,Mudgee,103031072,Mudgee,1,100
103031073,Mudgee Region - East,103031073,Mudgee Region - East,1,100
103031074,Mudgee Region - West,103031074,Mudgee Region - West,1,100
103031075,Wollangambe - Wollemi,103031075,Wollangambe - Wollemi,1,100
103041076,Blayney,103041076,Blayney,1,100
103041077,Orange,103041077,Orange,1,100
103041078,Orange - North,103041078,Orange - North,1,100
103041079,Orange Region,103041079,Orange Region,1,100
104011080,Grafton,104011080,Grafton,1,100
104011081,Grafton Region,104011081,Grafton Region,1,100
104011082,Maclean - Yamba - Iluka,104011082,Maclean - Yamba - Iluka,0.9999998,99.9999811
104021083,Bellingen,104021083,Bellingen,1,100
104021084,Coffs Harbour - North,104021084,Coffs Harbour - North,1,100
104021085,Coffs Harbour - South,104021085,Coffs Harbour - South,1,100
104021086,Coramba - Nana Glen - Bucca,104021086,Coramba - Nana Glen - Bucca,1,100
104021087,Dorrigo,104021087,Dorrigo,1,100
104021088,Korora - Emerald Beach,104021088,Korora - Emerald Beach,1,100
104021089,Sawtell - Boambee,104021089,Sawtell - Boambee,1,100
104021090,Urunga,104021090,Urunga,1,100
104021091,Woolgoolga - Arrawarra,104021091,Woolgoolga - Arrawarra,1,100
105011092,Bourke - Brewarrina,105011092,Bourke - Brewarrina,1,100
105011093,Cobar,105011093,Cobar,1,100
105011094,Coonamble,105011094,Coonamble,1,100
105011095,Nyngan - Warren,105011095,Nyngan - Warren,1,100
105011096,Walgett - Lightning Ridge,105011096,Walgett - Lightning Ridge,1,100
105021097,Broken Hill,105021097,Broken Hill,1,100
105021098,Far West,105021098,Far West,1,100
105031099,Coonabarabran,105031099,Coonabarabran,1,100
105031100,Dubbo - East,105031100,Dubbo - East,1,100
105031101,Dubbo - South,105031101,Dubbo - South,1,100
105031102,Dubbo - West,105031102,Dubbo - West,1,100
105031103,Dubbo Region,105031103,Dubbo Region,1,100
105031104,Gilgandra,105031104,Gilgandra,1,100
105031105,Narromine,105031105,Narromine,1,100
105031106,Wellington,105031106,Wellington,1,100
106011107,Branxton - Greta - Pokolbin,106011107,Branxton - Greta - Pokolbin,1,100
106011108,Cessnock,106011108,Cessnock,1,100
106011109,Cessnock Region,106011109,Cessnock Region,1,100
106011110,Dungog,106011110,Dungog,1,100
106011111,Kurri Kurri - Abermain,106011111,Kurri Kurri - Abermain,1,100
106011112,Singleton,106011112,Singleton,1,100
106011113,Singleton Region,106011113,Singleton Region,1,100
106021114,Maitland,106021114,Maitland,1,100
106021115,Maitland - East,106021115,Maitland - East,1,100
106021116,Maitland - North,106021116,Maitland - North,1,100
106021117,Maitland - West,106021117,Maitland - West,1,100
106021118,Thornton - Millers Forest,106021118,Thornton - Millers Forest,1,100
106031119,Anna Bay,106031119,Anna Bay,1,100
106031120,Lemon Tree Passage - Tanilba Bay,106031120,Lemon Tree Passage - Tanilba Bay,1,100
106031121,Nelson Bay Peninsula,106031121,Nelson Bay Peninsula,1,100
106031122,Raymond Terrace,106031122,Raymond Terrace,1,100
106031123,Seaham - Woodville,106031123,Seaham - Woodville,1,100
106031124,Tea Gardens - Hawks Nest,106031124,Tea Gardens - Hawks Nest,1,100
106031125,Williamtown - Medowie - Karuah,106031125,Williamtown - Medowie - Karuah,1,100
106041126,Muswellbrook,106041126,Muswellbrook,1,100
106041127,Muswellbrook Region,106041127,Muswellbrook Region,1,100
106041128,Scone,106041128,Scone,1,100
106041129,Scone Region,106041129,Scone Region,1,100
107011130,Berkeley - Warrawong - Windang,107011545,Berkeley - Lake Heights - Cringila,0.4815592,48.1559238
107011130,Berkeley - Warrawong - Windang,107011546,Port Kembla - Warrawong,0.3617311,36.1731146
107011130,Berkeley - Warrawong - Windang,107011547,Windang - Primbee,0.1567096,15.6709616
107011131,Dapto - Avondale,107011131,Dapto - Avondale,1,100
107011132,Horsley - Kembla Grange,107011132,Horsley - Kembla Grange,1,100
107011133,Port Kembla Industrial,107011133,Port Kembla Industrial,1,100
107011134,Unanderra - Mount Kembla,107011134,Unanderra - Mount Kembla,1,100
107021135,Illawarra Catchment Reserve,107021135,Illawarra Catchment Reserve,1,100
107031136,Albion Park - Macquarie Pass,107031136,Albion Park - Macquarie Pass,1,100
107031137,Albion Park Rail,107031137,Albion Park Rail,1,100
107031138,Kiama,107031138,Kiama,1,100
107031139,Kiama Downs - Minnamurra,107031139,Kiama Downs - Minnamurra,1,100
107031140,Kiama Hinterland - Gerringong,107031140,Kiama Hinterland - Gerringong,1,100
107031141,Shellharbour - Flinders,107031141,Shellharbour - Flinders,1,100
